,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,N/A,35.43,4.94,4.80,0.00,18.81,4470000000.0,4470000000.0,13.89,22110000000.0,35.43,24.02,2.92,0.00,0.00,0.00,2200000000.0,0.00,N/A,1.94,2680000000.0,2200000000.0,2680000000.0,2009999999.9999998,2009999999.9999998,14.31,14.31,535250000.0,1.63,0.26,87.22,N/A,1.72,0.94,N/A,Health Care,status
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,N/A,47.37,0.74,1.29,1.59,8.40,3.27,3.26,56.41,7700000000.0,8210000000.000001,11.63,0.24,0.79,5.12,0.79,1600000000.0,5.12,N/A,0.88,5.18,23.10,5.18,5.18,1440000000.0,1.37,32.30,712500000.0,32.09,8.73,0.00,N/A,1.43,2.80,N/A,Health Care,status
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,N/A,19.42,3.83,6.68,0.00,26.76,229230000000.0,229230000000.0,43.94,878220000000.0,19.42,14.12,1.40,0.00,0.00,0.00,88190000000.0,0.00,N/A,8.81,74400000000.0,88190000000.0,74400000000.0,115680000000.0,115680000000.0,25.61,25.61,63600000000.0,1.40,0.08,61.75,N/A,1.9,0.77,N/A,Information Technology,status
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,N/A,23.69,5.64,25.55,0.00,38.31,27270000000.0,27270000000.0,17.03,153770000000.0,23.69,14.66,1.15,0.00,0.00,0.00,19800000000.0,0.00,N/A,4.07,9550000000.0,19800000000.0,9550000000.0,38090000000.0,38090000000.0,3.77,3.77,8920000000.0,1.42,0.07,71.68,N/A,5.37,2.14,N/A,Health Care,status
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,N/A,22.13,0.12,7.29,0.00,1.32,153140000000.0,153140000000.0,701.29,18530000000.0,22.13,12.76,1.69,0.00,0.00,0.00,4550000000.0,0.00,N/A,3.84,2440000000.0,4550000000.0,2440000000.0,3790000000.0,3790000000.0,11.66,11.66,1500000000.0,0.91,26.33,70.84,N/A,9.94,7.72,N/A,Health Care,status
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,N/A,78.40,3.88,3.08,0.00,12.19,25130000000.0,25130000000.0,15.03,97440000000.0,78.40,19.78,1.94,0.00,0.00,0.00,11830000000.0,0.00,N/A,0.71,11200000000.0,11830000000.0,11200000000.0,24080000000.0,24080000000.0,18.19,18.19,5100000000.0,1.63,0.75,74.18,N/A,2.35,1.02,N/A,Health Care,status
6,N/A,N/A,ace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Care,status
7,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Care,status
8,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,N/A,26.93,2.59,10.11,0.00,14.76,34850000000.0,34850000000.0,56.20,90100000000.0,26.93,20.47,2.34,0.00,0.00,0.00,11030000000.0,0.00,N/A,5.44,4130000000.0,11030000000.0,4130000000.0,25070000.0,25070000.0,14.49,14.49,4970000000.0,1.14,0.12,81.27,N/A,3.98,1.53,N/A,Information Technology,status
9,N/A,N/A,act,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
10,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,N/A,56.44,12.82,10.83,0.00,28.82,6900000000.0,6900000000.0,13.96,88490000000.0,56.44,32.58,1.48,0.00,0.00,0.00,5030000000.0,0.00,N/A,3.18,5370000000.0,5030000000.0,5370000000.0,1890000000.0,1890000000.0,16.58,16.58,2780000000.0,0.99,0.35,89.12,N/A,2.72,0.99,N/A,Information Technology,status
11,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,N/A,42.51,6.16,3.16,0.00,30.02,5110000000.0,5110000000.0,14.75,31480000000.0,42.51,15.25,2.23,0.00,0.00,0.00,3060000000.0,0.00,N/A,2.01,1050000000.0,3060000000.0,1050000000.0,7850000000.0,7850000000.0,26.99,26.99,1110000000.0,1.38,0.55,88.84,N/A,3.72,2.70,N/A,Information Technology,status
12,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,N/A,17.26,0.37,1.32,0.00,2.60,61260000000.0,61260000000.0,106.91,22830000000.0,17.26,14.90,6.85,0.00,0.00,0.00,3680000000.0,0.00,N/A,2.37,7340000000.0,3680000000.0,7340000000.0,7340000000.0,7340000000.0,30.92,30.92,2330000000.0,1.13,2.31,79.44,N/A,3.71,1.85,N/A,Consumer Staples,status
13,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,N/A,29.55,4.02,12.73,0.00,19.04,12540000000.0,12540000000.0,28.17,50450000000.0,29.55,26.33,2.75,0.00,0.00,0.00,5110000000.0,0.00,N/A,3.85,2480000000.0,5110000000.0,2480000000.0,2130000000.0,2130000000.0,8.94,8.94,2040000000.0,0.89,0.29,80.26,N/A,1.89,3.04,N/A,Information Technology,status
14,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,N/A,87.75,11.84,74.40,0.00,23.39,1980000000.0,1980000000.0,9.01,23470000000.0,87.75,87.75,8.27,0.00,0.00,0.00,1690000000.0,0.00,N/A,2.67,1450000000.0,1690000000.0,1450000000.0,1590000000.0,1590000000.0,1.44,1.44,62800000.0,2.48,0.36,98.56,N/A,2.23,2.04,N/A,Information Technology,status
15,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
16,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,N/A,22.31,2.61,2.16,0.00,23.26,5920000000.0,5920000000.0,24.42,15470000000.0,22.31,21.11,3.26,0.00,0.00,0.00,2690000000.0,0.00,N/A,2.86,8140000000.000001,2690000000.0,8140000000.000001,8140000000.000001,8140000000.000001,29.50,29.50,2210000000.0,0.16,0.32,71.38,N/A,3.86,2.45,N/A,Utilities,status
17,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,N/A,16.08,0.76,2.46,0.00,8.77,3640000000.0,3640000000.0,20.22,2770000000.0,16.08,13.50,47.43,0.00,0.00,0.00,1370000000.0,0.00,N/A,0.97,192560000.0,1370000000.0,192560000.0,6.35,6.35,6.35,6.35,317450000.0,0.66,5.88,87.36,N/A,5.42,12.97,N/A,Utilities,status
18,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,N/A,66.47,2.47,2.13,0.00,20.72,15400000000.0,15400000000.0,31.33,37990000000.0,66.47,19.91,7.76,0.00,0.00,0.00,9410000000.0,0.00,N/A,1.16,481700000.0,9410000000.0,481700000.0,21780000000.0,21780000000.0,36.24,36.24,4219999999.9999995,0.03,0.02,73.14,N/A,2.55,1.37,N/A,Utilities,status
19,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,N/A,8.97,0.50,2.33,5.30,17.16,4.10,9.23,21.28,7050000000.0,25800000000.0,8.97,1.23,1.84,7.20,1.84,2430000000.0,7.20,N/A,1.14,1950000000.0,7.50,1950000000.0,2.96,20770000000.0,0.99,4.58,2470000000.0,1.42,0.33,97.28,N/A,1.41,1.33,N/A,Utilities,status
20,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,N/A,40.25,0.96,3.91,0.00,8.66,61410000000.0,61410000000.0,180.91,59130000000.0,40.25,18.00,1.72,0.00,0.00,0.00,16800000000.0,0.00,N/A,4.51,8640000000.0,16800000000.0,8640000000.0,10160000000.0,10160000000.0,46.38,46.38,1320000000.0,0.53,0.41,90.41,N/A,3.37,3.03,N/A,Health Care,status
21,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,N/A,13.24,1.54,1.61,0.00,21.28,22400000000.0,22400000000.0,56.05,34440000000.0,13.24,12.86,0.96,0.00,0.00,0.00,8270000000.0,0.00,N/A,6.61,4980000000.0,8270000000.0,4980000000.0,5770000000.0,5770000000.0,54.30,54.30,6460000000.0,1.01,2.19,72.78,N/A,3.47,1.56,N/A,Financials,status
22,N/A,N/A,agn,N/A,N/A,N/A,N/A,N/A,N/A,5.18,3.65,0.81,0.00,3.75,15480000000.0,15480000000.0,45.52,56520000000.0,5.18,10.68,1.27,0.00,0.00,0.00,12740000000.0,0.00,N/A,32.82,5440000000.0,12740000000.0,5440000000.0,30340000000.0,30340000000.0,210.39,210.39,3720000000.0,1.19,0.24,89.65,N/A,3.43,1.63,N/A,Health Care,status
23,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,N/A,11.93,1.10,0.73,0.00,4.88,48770000000.0,48770000000.0,50.83,53830000000.0,11.93,11.93,0.15,0.00,0.00,0.00,15410000000.0,0.00,N/A,0.28,12210000000.0,15410000000.0,12210000000.0,31040000000.0,31040000000.0,81.62,81.62,8570000000.0,1.34,0.05,88.44,N/A,2.33,2.14,N/A,Financials,status
24,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,N/A,34.64,7.32,5.04,0.00,23.97,988030000.0,988030000.0,6.32,7230000000.0,34.64,95.63,16.34,0.00,0.00,0.00,639090000.0,0.00,N/A,1.27,55680000.0,639090000.0,55680000.0,4390000000.0,4390000000.0,8.72,8.72,386290000.0,0.63,0.86,102.43,N/A,3.7,4.06,N/A,Real Estate,status
25,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,N/A,13.11,0.80,1.28,6.52,11.06,1.56,9.96,117.63,5370000000.0,5530000000.0,14.21,1.39,0.82,6.39,0.82,2280000000.0,6.39,N/A,7.61,29.00,11.00,1050000000.0,19.43,1140000000.0,0.93,78.14,458030000.0,0.57,0.81,94.05,N/A,2.56,1.93,N/A,Financials,status
26,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,N/A,31.86,3.84,2.92,0.00,16.26,2460000000.0,2460000000.0,14.23,9440000000.0,31.86,21.38,3.44,0.00,0.00,0.00,1530000000.0,0.00,N/A,1.75,657130000.0,1530000000.0,657130000.0,657130000.0,657130000.0,19.11,19.11,782250000.0,0.34,3.00,89.47,N/A,2.98,4.53,N/A,Information Technology,status
27,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,N/A,15.23,0.97,1.88,0.00,11.83,37960000000.0,37960000000.0,104.10,36990000000.0,15.23,14.12,1.06,0.00,0.00,0.00,12460000000.0,0.00,N/A,6.77,2890000000.0,12460000000.0,2890000000.0,6350000000.0,6350000000.0,54.72,54.72,4460000000.0,0.97,0.29,78.08,N/A,2.16,1.03,N/A,Financials,status
28,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,N/A,4.34,4.34,0.00,0.00,7.39,326310000.0,326310000.0,6.49,1420000000.0,4.34,4.34,4.34,0.00,0.00,0.00,13530000.0,0.00,N/A,0.26,16670000.000000002,13530000.0,16670000.000000002,92090000.0,92090000.0,3.28,3.28,17480000.0,20.09,37.08,0.00,N/A,3.21,2.32,N/A,Financials,status
29,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,N/A,47.25,7.01,2.75,0.00,28.46,3470000000.0,3470000000.0,15.50,24340000000.0,47.25,15.39,1.04,0.00,0.00,0.00,2830000000.0,0.00,N/A,2.31,1530000000.0,2830000000.0,1530000000.0,3260000000.0,3260000000.0,39.62,39.62,1240000000.0,1.14,0.46,97.11,N/A,2.63,2.67,N/A,Health Care,status
30,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,N/A,18.45,3.81,6.35,0.00,26.61,14540000000.0,14540000000.0,13.55,55360000000.0,18.45,11.80,0.78,0.00,0.00,0.00,4510000000.0,0.00,N/A,2.81,7280000000.0,4510000000.0,7280000000.0,5300000000.0,5300000000.0,8.17,8.17,3610000000.0,1.80,0.34,81.99,N/A,1.37,1.24,N/A,Information Technology,status
31,N/A,N/A,amd,N/A,N/A,N/A,N/A,N/A,N/A,30.66,2.09,24.39,0.00,4.46,4950000000.0,4950000000.0,5.25,10350000000.0,30.66,30.66,644.38,0.00,0.00,0.00,0.60,0.00,N/A,0.60,1430000000.0,0.60,1430000000.0,1430000000.0,1430000000.0,0.44,0.44,270750000.0,3.02,0.65,68.84,N/A,1.81,19.20,N/A,Information Technology,status
32,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,N/A,16.14,5.59,4.08,0.00,43.66,23010000000.0,23010000000.0,31.36,128630000000.0,16.14,13.90,3.28,0.00,0.00,0.00,18830000000.0,0.00,N/A,10.98,41350000000.0,18830000000.0,41350000000.0,35780000000.0,35780000000.0,43.41,43.41,11270000000.0,1.71,0.15,80.77,N/A,2.81,1.06,N/A,Health Care,status
